D:		xEEGADSToMCUData[0]	xEEGADSToMCUData[1]	xEEGADSToMCUData[2]	xEEGADSToMCUData[3]	xEEGADSToMCUData[4]	xEEGADSToMCUData[5]	xEEGADSToMCUData[6]	xEEGADSToMCUData[7]	xEEGADSToMCUData[8]	xEEGADSToMCUData[9]	xEEGADSToMCUData[10]	xEEGADSToMCUData[11]	xEEGADSToMCUData[12]	xEEGADSToMCUData[13]	xEEGADSToMCUData[14]	xEEGADSToMCUData[15]	xEEGADSToMCUData[16]	xEEGADSToMCUData[17]	xEEGADSToMCUData[18]	xEEGMCUToBLEData[0]	xEEGMCUToBLEData[1]	xEEGMCUToBLEData[2]	xEEGMCUToBLEData[3]	xEEGMCUToBLEData[4]	xEEGMCUToBLEData[5]	xEEGMCUToBLEData[6]	xEEGMCUToBLEData[7]	xEEGMCUToBLEData[8]	xEEGMCUToBLEData[9]	xEEGMCUToBLEData[10]	xEEGMCUToBLEData[11]	xEEGMCUToBLEData[12]	xEEGMCUToBLEData[13]	xEEGMCUToBLEData[14]	xEEGMCUToBLEData[15]	xEEGMCUToBLEData[16]	xEEGMCUToBLEData[17]	xEEGMCUToBLEData[18]
D:	time(ms)	(0x200019e8,6)	(0x200019ec,6)	(0x200019f0,6)	(0x200019f4,6)	(0x200019f8,6)	(0x200019fc,6)	(0x20001a00,6)	(0x20001a04,6)	(0x20001a08,6)	(0x20001a0c,6)	(0x20001a10,6)	(0x20001a14,6)	(0x20001a18,6)	(0x20001a1c,6)	(0x20001a20,6)	(0x20001a24,6)	(0x20001a28,6)	(0x20001a2c,6)	(0x20001a30,6)	(0x20001ac8,6)	(0x20001acc,6)	(0x20001ad0,6)	(0x20001ad4,6)	(0x20001ad8,6)	(0x20001adc,6)	(0x20001ae0,6)	(0x20001ae4,6)	(0x20001ae8,6)	(0x20001aec,6)	(0x20001af0,6)	(0x20001af4,6)	(0x20001af8,6)	(0x20001afc,6)	(0x20001b00,6)	(0x20001b04,6)	(0x20001b08,6)	(0x20001b0c,6)	(0x20001b10,6)
D:	46.93	56.711964	56.188774	57.401325	55.080051	58.193699	54.908726	54.966740	52.587181	53.821144	54.592644	55.434353	56.520309	53.320728	54.693760	54.664482	54.001957	55.502125	53.680996	55.826881	56.711964	56.188774	57.401325	55.080051	58.193699	54.908726	54.966740	52.587181	53.821144	54.592644	55.434353	56.520309	53.320728	54.693760	54.664482	54.001957	55.502125	53.680996	55.826881
D:	50.80	56.711964	56.188774	57.401325	55.080051	58.193699	54.908726	54.966740	52.587181	53.821144	54.592644	55.434353	56.520309	53.320728	54.693760	54.664482	54.001957	55.502125	53.680996	55.826881	56.711964	56.188774	57.401325	55.080051	58.193699	54.908726	54.966740	52.587181	53.821144	54.592644	55.434353	56.520309	53.320728	54.693760	54.664482	54.001957	55.502125	53.680996	55.826881
D:	54.89	56.711964	56.188774	57.401325	55.080051	58.193699	54.908726	54.966740	52.587181	53.821144	54.592644	55.434353	56.520309	53.320728	54.693760	54.664482	54.001957	55.502125	53.680996	55.826881	56.711964	56.188774	57.401325	55.080051	58.193699	54.908726	54.966740	52.587181	53.821144	54.592644	55.434353	56.520309	53.320728	54.693760	54.664482	54.001957	55.502125	53.680996	55.826881
D:	58.88	-32.896332	-32.302120	-33.777348	-35.530163	-33.934307	-35.294594	-33.764877	-35.544804	-34.621769	-34.914539	-36.040070	-34.464542	-35.694981	-33.852169	-35.466732	-35.053333	-33.382923	-35.548870	-33.971443	56.711964	56.188774	57.401325	55.080051	58.193699	54.908726	54.966740	-35.544804	-34.621769	-34.914539	-36.040070	-34.464542	-35.694981	-33.852169	-35.466732	-35.053333	-33.382923	-35.548870	-33.971443
D:	63.28	-32.896332	-32.302120	-33.777348	-35.530163	-33.934307	-35.294594	-33.764877	-35.544804	-34.621769	-34.914539	-36.040070	-34.464542	-35.694981	-33.852169	-35.466732	-35.053333	-33.382923	-35.548870	-33.971443	-32.896332	-32.302120	-33.777348	-35.530163	-33.934307	-35.294594	-33.764877	-35.544804	-34.621769	-34.914539	-36.040070	-34.464542	-35.694981	-33.852169	-35.466732	-35.053333	-33.382923	-35.548870	-33.971443
D:	67.66	-32.896332	-32.302120	-33.777348	-35.530163	-33.934307	-35.294594	-33.764877	-35.544804	-34.621769	-34.914539	-36.040070	-34.464542	-35.694981	-33.852169	-35.466732	-35.053333	-33.382923	-35.548870	-33.971443	-32.896332	-32.302120	-33.777348	-35.530163	-33.934307	-35.294594	-33.764877	-35.544804	-34.621769	-34.914539	-36.040070	-34.464542	-35.694981	-33.852169	-35.466732	-35.053333	-33.382923	-35.548870	-33.971443
D:	71.92	-32.896332	-32.302120	-33.777348	-35.530163	-33.934307	-35.294594	-33.764877	-35.544804	-34.621769	-34.914539	-36.040070	-34.464542	-35.694981	-33.852169	-35.466732	-35.053333	-33.382923	-35.548870	-33.971443	-32.896332	-32.302120	-33.777348	-35.530163	-33.934307	-35.294594	-33.764877	-35.544804	-34.621769	-34.914539	-36.040070	-34.464542	-35.694981	-33.852169	-35.466732	-35.053333	-33.382923	-35.548870	-33.971443
D:	76.29	49.692299	48.344479	50.047958	47.016449	50.615059	47.246868	46.431183	43.967049	45.292095	46.512505	47.471050	48.080715	44.347645	46.075253	46.620937	45.330048	46.610638	45.538780	47.395691	49.692299	48.344479	50.047958	47.016449	50.615059	47.246868	46.431183	43.967049	45.292095	46.512505	47.471050	48.080715	44.347645	46.075253	46.620937	45.330048	46.610638	45.538780	47.395691
D:	80.52	49.692299	48.344479	50.047958	47.016449	50.615059	47.246868	46.431183	43.967049	45.292095	46.512505	47.471050	48.080715	44.347645	46.075253	46.620937	45.330048	46.610638	45.538780	47.395691	49.692299	48.344479	50.047958	47.016449	50.615059	47.246868	46.431183	43.967049	45.292095	46.512505	47.471050	48.080715	44.347645	46.075253	46.620937	45.330048	46.610638	45.538780	47.395691
D:	85.30	49.692299	48.344479	50.047958	47.016449	50.615059	47.246868	46.431183	43.967049	45.292095	46.512505	47.471050	48.080715	44.347645	46.075253	46.620937	45.330048	46.610638	45.538780	47.395691	49.692299	48.344479	50.047958	47.016449	50.615059	47.246868	46.431183	43.967049	45.292095	46.512505	47.471050	48.080715	44.347645	46.075253	46.620937	45.330048	46.610638	45.538780	47.395691
D:	89.55	-28.729803	-28.612967	-30.273886	-31.406466	-30.323223	-31.302099	-29.648500	-31.353876	-30.361717	-31.019091	-32.066822	-30.489126	-31.753450	-29.751783	-31.510290	-31.115324	-29.058355	-31.609236	-29.814945	49.692299	48.344479	50.047958	47.016449	50.615059	47.246868	46.431183	43.967049	45.292095	46.512505	47.471050	48.080715	44.347645	46.075253	46.620937	45.330048	46.610638	45.538780	-29.814945
D:	93.80	-28.729803	-28.612967	-30.273886	-31.406466	-30.323223	-31.302099	-29.648500	-31.353876	-30.361717	-31.019091	-32.066822	-30.489126	-31.753450	-29.751783	-31.510290	-31.115324	-29.058355	-31.609236	-29.814945	-28.729803	-28.612967	-30.273886	-31.406466	-30.323223	-31.302099	-29.648500	-31.353876	-30.361717	-31.019091	-32.066822	-30.489126	-31.753450	-29.751783	-31.510290	-31.115324	-29.058355	-31.609236	-29.814945
D:	98.22	-28.729803	-28.612967	-30.273886	-31.406466	-30.323223	-31.302099	-29.648500	-31.353876	-30.361717	-31.019091	-32.066822	-30.489126	-31.753450	-29.751783	-31.510290	-31.115324	-29.058355	-31.609236	-29.814945	-28.729803	-28.612967	-30.273886	-31.406466	-30.323223	-31.302099	-29.648500	-31.353876	-30.361717	-31.019091	-32.066822	-30.489126	-31.753450	-29.751783	-31.510290	-31.115324	-29.058355	-31.609236	-29.814945
D:	102.30	-28.729803	-28.612967	-30.273886	-31.406466	-30.323223	-31.302099	-29.648500	-31.353876	-30.361717	-31.019091	-32.066822	-30.489126	-31.753450	-29.751783	-31.510290	-31.115324	-29.058355	-31.609236	-29.814945	-28.729803	-28.612967	-30.273886	-31.406466	-30.323223	-31.302099	-29.648500	-31.353876	-30.361717	-31.019091	-32.066822	-30.489126	-31.753450	-29.751783	-31.510290	-31.115324	-29.058355	-31.609236	-29.814945
D:	106.64	37.109760	35.084236	36.653255	34.496258	37.383011	33.878735	33.452320	31.363907	32.834255	34.129486	35.158783	35.075020	31.138908	32.787628	33.471027	32.296429	33.655632	32.383717	34.567009	-28.729803	-28.612967	-30.273886	-31.406466	-30.323223	-31.302099	-29.648500	31.363907	32.834255	34.129486	35.158783	35.075020	31.138908	32.787628	33.471027	32.296429	33.655632	32.383717	34.567009
